experiment_id,n_samples,n_layers,n_epochs,mae_nm,mape_percent,rmse_nm
1,500,1,50,18.127973965846802,3.473992581199815,24.982927130217245
2,500,1,100,18.63289102248956,3.7875276406947758,24.069478514824393
3,500,1,200,8.547048296727828,1.574866413747667,13.033994433252012
4,500,2,50,10.509795641475312,1.9755813817843675,15.151738698584127
5,500,2,100,5.1847946149485615,0.9924763581279007,7.397864704891289
6,500,2,200,2.33566447004378,0.42886150039328047,3.9115943362884837
7,500,3,50,8.267823084504286,1.7838684413560668,9.638393275117398
8,500,3,100,2.419660096557445,0.4342196684325717,4.378486999939911
9,500,3,200,1.5956351554311141,0.32769062857493114,2.5053342467908717
10,500,4,50,7.969083477109709,1.698503432641099,9.370473714352116
11,500,4,100,1.7489148105061736,0.3667484362169323,2.4409036806566826
12,500,4,200,1.5776236996241528,0.3054530112500045,2.5683873009297606
13,1000,1,50,30.758993430071587,6.157418231528741,39.25497463424942
14,1000,1,100,19.02423319131025,3.9812256609575685,22.492071741149328
15,1000,1,200,5.329306681250513,1.0392893747197782,7.260483318052807
16,1000,2,50,9.15000587592722,1.7079252748866247,13.818168790593576
17,1000,2,100,5.080126055856453,1.041868839523943,6.295352188075664
18,1000,2,200,1.813977839202262,0.3670591197648234,2.914471513435752
19,1000,3,50,9.279369666979616,1.9647801241883922,10.841688310432247
20,1000,3,100,2.695241112844826,0.575063873764225,3.4921521245861777
21,1000,3,200,0.700844103633572,0.13733874580161762,1.298274063770254
22,1000,4,50,7.745911564704663,1.6429569654297957,10.593435079437322
23,1000,4,100,2.6989543652658496,0.5854316823234058,3.5182194380854943
24,1000,4,200,0.8118609332939914,0.17465900807241844,1.2053174374105704
25,2500,1,50,33.865996481848335,6.149368710114082,52.418708994024776
26,2500,1,100,26.395466882033585,5.519399281212118,31.185636786331965
27,2500,1,200,6.7495255440550235,1.2643682858841834,10.563079686839377
28,2500,2,50,16.374640357408037,3.4409174179350055,20.043470029342366
29,2500,2,100,4.564854236659886,0.9167120807366942,6.2089398920712915
30,2500,2,200,1.76823205723116,0.3447810883556852,2.8856474105757908
31,2500,3,50,10.677216377611783,2.1565010950523478,14.120453406398369
32,2500,3,100,3.49027203078201,0.7174827528815833,4.736240735556911
33,2500,3,200,1.0230356651433234,0.22720874542877809,1.4091384674858562
34,2500,4,50,9.009872236840959,2.054672677938119,10.53966698569503
35,2500,4,100,2.4320817629902587,0.5310799531227973,3.2593378623391698
36,2500,4,200,0.9581455579670639,0.2085390463711268,1.4216084086940242
37,5000,1,50,18.229936301541077,3.523935627624365,24.00005186588062
38,5000,1,100,23.91067614842429,4.816085815177374,29.588444421061126
39,5000,1,200,6.193695037061003,1.1397840327356923,9.581603821376188
40,5000,2,50,13.762025416319114,2.567192779332682,20.120580116144314
41,5000,2,100,6.505537877835805,1.2438512964513033,8.844510884242855
42,5000,2,200,2.499464194754135,0.4529991956994498,4.20187651752925
43,5000,3,50,8.285096167415116,1.6586458507497817,10.373415499356838
44,5000,3,100,3.0616289244635246,0.6062815649743558,4.083983033476918
45,5000,3,200,1.1671313960180547,0.23005337459090733,1.7908479602859952
46,5000,4,50,8.057180929365051,1.8084224699665263,9.382105945577973
47,5000,4,100,1.7783438009169472,0.379816551972947,2.316983613486548
48,5000,4,200,0.8887592087156604,0.18240933745078572,1.253145814777907
49,10000,1,50,20.964336382173517,4.306370320437865,25.39336311945176
50,10000,1,100,23.137903600247622,4.67372807950244,29.030316519092313
51,10000,1,200,3.2003521209673935,0.6464204494029072,4.626855104792886
52,10000,2,50,12.486087736878334,2.5054693880195247,15.757454730515988
53,10000,2,100,4.8604548882963465,0.9253159667788718,6.914277041104802
54,10000,2,200,2.3588696574146635,0.48120267489843505,3.4070587777118875
55,10000,3,50,8.973537754690897,1.7510913800762913,11.658303440216269
56,10000,3,100,3.0858046616290262,0.6121852634712247,4.355924668308463
57,10000,3,200,1.1927979565744566,0.24115331211966248,1.8415017654315853
58,10000,4,50,7.8271713546253245,1.6570108138934947,9.215834933234756
59,10000,4,100,2.0579033138090046,0.4213240507713033,2.7795026948677406
60,10000,4,200,0.6887784395921789,0.1379462285077919,1.0196562397871503
